GameID,GameVersion,BlueSideWin,BlueTopName,BlueTopSide,BlueTopRank,BlueTopDivision,BlueTopRole,BlueTopChampID,BlueTopWinrate,BlueTopWinStreak,BlueJungleName,BlueJungleSide,BlueJungleRank,BlueJungleDivision,BlueJungleRole,BlueJungleChampID,BlueJungleWinrate,BlueJungleWinStreak,BlueMidName,BlueMidSide,BlueMidRank,BlueMidDivision,BlueMidRole,BlueMidChampID,BlueMidWinrate,BlueMidWinStreak,BlueADCName,BlueADCSide,BlueADCRank,BlueADCDivision,BlueADCRole,BlueADCChampID,BlueADCWinrate,BlueADCWinStreak,BlueSupportName,BlueSupportSide,BlueSupportRank,BlueSupportDivision,BlueSupportRole,BlueSupportChampID,BlueSupportWinrate,BlueSupportWinStreak,RedTopName,RedTopSide,RedTopRank,RedTopDivision,RedTopRole,RedTopChampID,RedTopWinrate,RedTopWinStreak,RedJungleName,RedJungleSide,RedJungleRank,RedJungleDivision,RedJungleRole,RedJungleChampID,RedJungleWinrate,RedJungleWinStreak,RedMidName,RedMidSide,RedMidRank,RedMidDivision,RedMidRole,RedMidChampID,RedMidWinrate,RedMidWinStreak,RedADCName,RedADCSide,RedADCRank,RedADCDivision,RedADCRole,RedADCChampID,RedADCWinrate,RedADCWinStreak,RedSupportName,RedSupportSide,RedSupportRank,RedSupportDivision,RedSupportRole,RedSupportChampID,RedSupportWinrate,RedSupportWinStreak
CIwPbX19FDf9mkiXHY-jJ2TXhumPxIJgO0PNNwHMMOM=,14.22.635.4945,False,Browndon#NA1,BLUE,BRONZE,4,TOP,223,48.78,False,ShinyMetalAss#1516,BLUE,IRON,1,JUNGLE,131,53.01,False,Nobunaga#QtSZN,BLUE,IRON,1,MID,103,40.0,False,Dirtbag Joe#1343,BLUE,BRONZE,3,ADC,51,53.59,False,PittedAlways#6969,BLUE,IRON,1,SUPPORT,432,55.05,False,B3achbum18#NA1,RED,UNRANKED,0,TOP,106,0,False,iceyd678#NA1,RED,BRONZE,4,JUNGLE,78,43.97,False,AHuân cạm bẫy#4009,RED,BRONZE,3,MID,777,55.77,True,GfuelSniffinTimy#gfuel,RED,BRONZE,4,ADC,67,48.08,False,ILoveU1810#1011,RED,IRON,3,SUPPORT,147,66.67,False
CIwPbX19FDeGQwzgxFPl5AxB8_HFWr-17gWb0afKAko=,14.22.633.1362,True,TLG Sailing#NA1,BLUE,UNRANKED,0,TOP,3,50.0,False,Bum#6853,BLUE,UNRANKED,0,JUNGLE,233,47.06,False,ProfessorAnime#NA1,BLUE,UNRANKED,0,MID,90,0,False,Jack At1as#NA1,BLUE,UNRANKED,0,ADC,221,50.0,False,TLG Serena#NA1,BLUE,UNRANKED,0,SUPPORT,99,0,False,yikoucui#5984,RED,GOLD,4,TOP,901,39.34,False,pqvez#NA1,RED,GOLD,1,JUNGLE,31,50.0,False,Arktaeris#ark,RED,UNRANKED,0,MID,84,53.33,False,Egginator77#NA1,RED,UNRANKED,0,ADC,68,20.0,False,PittedAlways#6969,RED,UNRANKED,0,SUPPORT,44,55.05,False
CIwPbX19FDfPFpBQ0OINKFM2LPlaYBu0izYEYwTbvIY=,14.22.633.1362,True,TheBlackDeath090#NA1,BLUE,SILVER,1,TOP,39,58.33,False,DCcovaH#NA1,BLUE,EMERALD,4,JUNGLE,20,56.25,False,Arktaeris#ark,BLUE,UNRANKED,0,MID,127,53.33,False,Egginator77#NA1,BLUE,UNRANKED,0,ADC,69,20.0,False,PittedAlways#6969,BLUE,UNRANKED,0,SUPPORT,412,55.05,False,Tslus#TTV,RED,UNRANKED,0,TOP,266,60.0,False,BIS#1771,RED,UNRANKED,0,JUNGLE,5,33.33,False,Mox#6628,RED,UNRANKED,0,MID,910,54.55,False,STOVE#7797,RED,IRON,1,ADC,51,56.6,False,Anythingpos#00001,RED,SILVER,1,SUPPORT,555,0,False
CIwPbX19FDebtyog1kIoL3x7Sr7crDrYjhKEaXZcbtU=,14.22.633.1362,False,Warden of Souls#NA1,BLUE,BRONZE,4,TOP,68,43.48,False,Paura#パウラ,BLUE,IRON,2,JUNGLE,799,61.54,False,Abu#Ahmed,BLUE,BRONZE,4,MID,61,50.0,False,Ouhl Geezr#NA1,BLUE,IRON,1,ADC,21,47.46,True,FerYuumi#NA11,BLUE,BRONZE,4,SUPPORT,267,48.78,True,J4J4#NA1,RED,BRONZE,4,TOP,27,53.54,False,TBAGASAURUSREX#NA1,RED,IRON,1,JUNGLE,23,58.97,False,FastestSeamen#4092,RED,IRON,2,MID,84,61.54,False,Solethan#777,RED,BRONZE,4,ADC,51,63.64,False,PittedAlways#6969,RED,BRONZE,4,SUPPORT,432,55.05,False
CIwPbX19FDfzW2ghoSUtkJ-m9_joJCQ9vnNKwWeWJPk=,14.22.635.4945,True,hahaUnaab#NA1,BLUE,BRONZE,4,TOP,39,44.05,False,DoubleGclip#4848,BLUE,IRON,1,JUNGLE,9,47.91,True,AzianGiant59#NA1,BLUE,BRONZE,4,MID,98,50.0,False,BòSiêuTuôi#420ez,BLUE,BRONZE,4,ADC,236,47.06,False,VyGiangHo#2604,BLUE,IRON,2,SUPPORT,25,57.14,False,PiRaTeKiNg3#NA1,RED,BRONZE,4,TOP,36,49.3,False,LostColony98#NA1,RED,UNRANKED,0,JUNGLE,887,0,False,Penny#sad,RED,BRONZE,4,MID,777,49.43,False,Tolvkahl#NA1,RED,BRONZE,3,ADC,222,47.37,True,Blank Affinity#4073,RED,IRON,1,SUPPORT,99,46.36,True
CIwPbX19FDdY5gqkZyZwaVC3YKEi7nRlRS1UM0rc9L0=,14.22.635.4945,True,TordEatsAvocados#5240,BLUE,IRON,2,TOP,75,46.67,False,JugosThere#NA1,BLUE,BRONZE,4,JUNGLE,203,44.66,False,TripleHAttack#NA1,BLUE,IRON,3,MID,45,52.17,True,BòSiêuTuôi#420ez,BLUE,IRON,1,ADC,236,47.06,False,joekony2024#NA1,BLUE,BRONZE,4,SUPPORT,101,51.67,False,Viloss#NA1,RED,IRON,1,TOP,122,49.38,False,Piminator#NA1,RED,BRONZE,4,JUNGLE,24,54.17,False,Ironwork88#NA1,RED,IRON,2,MID,80,48.84,False,topbotfrager#hah,RED,IRON,3,ADC,202,53.33,False,MaesInSpace#6969,RED,IRON,2,SUPPORT,99,52.38,False
CIwPbX19FDeCGSXpEGPfQONQ11e-WVLEfCmhgUN9cWU=,14.22.635.4945,True,iRealZ#NA1,BLUE,BRONZE,4,TOP,799,54.1,False,Perfect FLOW#NA1,BLUE,BRONZE,4,JUNGLE,77,49.69,True,lamotasapoperro#NA1,BLUE,IRON,1,MID,12,46.67,False,MaliciousValholl#Boats,BLUE,IRON,2,ADC,51,54.46,True,FalconTed#6764,BLUE,IRON,3,SUPPORT,350,50.57,False,booty goblin#booty,RED,IRON,3,TOP,48,46.15,False,Andy#2448,RED,IRON,1,JUNGLE,245,49.69,True,LMS9#NA1,RED,BRONZE,4,MID,103,54.34,False,BòSiêuTuôi#420ez,RED,IRON,1,ADC,115,47.06,False,So1Saigon#69420,RED,IRON,2,SUPPORT,54,41.86,False
CIwPbX19FDe0EiyxCRrwoT_ToPXtTgjYA6llCNy6UvQ=,14.22.635.4945,False,Niceice4#NA1,BLUE,IRON,3,TOP,157,52.08,True,BDSMMommysAddMe#5921,BLUE,BRONZE,4,JUNGLE,121,66.67,True,deathnote666#NA1,BLUE,BRONZE,4,MID,53,53.12,False,Ayameii#oreo,BLUE,IRON,2,ADC,147,48.17,False,CosmicHypernova#0924,BLUE,IRON,4,SUPPORT,267,38.24,False,Gattaqa#NA1,RED,IRON,1,TOP,54,43.81,False,AmberT3ard#NA1,RED,IRON,1,JUNGLE,234,47.95,False,StraightRazor69#NA1,RED,IRON,1,MID,99,46.78,False,BòSiêuTuôi#420ez,RED,IRON,1,ADC,236,47.06,False,So1Saigon#69420,RED,IRON,2,SUPPORT,101,41.86,False
CIwPbX19FDe7Nd43zFpuo8OMpGjrvj8ia-V4ezwyf_k=,14.22.635.4945,False,7hero7#NA1,BLUE,IRON,2,TOP,68,51.35,False,he4ven s3nt#NA12,BLUE,IRON,1,JUNGLE,254,48.72,False,xtndo#1337,BLUE,BRONZE,4,MID,67,55.26,True,DrPsilocybe1#Psilo,BLUE,IRON,3,ADC,45,21.43,False,Potatoman113#potat,BLUE,IRON,4,SUPPORT,25,47.06,False,Ayouski#3853,RED,IRON,3,TOP,106,50.0,False,ChosenCreed#1820,RED,IRON,1,JUNGLE,17,47.69,False,thejawhorse#2431,RED,IRON,2,MID,80,39.13,False,BòSiêuTuôi#420ez,RED,IRON,1,ADC,115,47.06,False,So1Saigon#69420,RED,IRON,3,SUPPORT,54,41.86,False
CIwPbX19FDfxTdZesZvt3_KArNzAyZzhurrOEPWlAx8=,14.22.635.4945,True,Michael Mayer#NA1,BLUE,IRON,1,TOP,516,20.0,False,PewDieCreamPie#810,BLUE,BRONZE,4,JUNGLE,56,49.24,False,xShortCakex#BRAT,BLUE,IRON,2,MID,99,52.63,False,BòSiêuTuôi#420ez,BLUE,IRON,1,ADC,236,47.06,False,So1Saigon#69420,BLUE,IRON,3,SUPPORT,54,41.86,False,Statera Esse#NA1,RED,IRON,2,TOP,777,40.0,False,LuckyNumpty#NA1,RED,IRON,2,JUNGLE,154,45.71,False,KhiefO#4488,RED,IRON,4,MID,950,0,False,Kalogothida#NA1,RED,IRON,1,ADC,50,52.09,False,Princess Cadenza#NAMI,RED,IRON,2,SUPPORT,44,50.63,False
CIwPbX19FDfqrZEH7bt8T7RW2hu_krZWgAghPPBgWZs=,14.22.635.4945,True,Purpledragon180#NA1,BLUE,BRONZE,4,TOP,19,43.9,False,BòSiêuTuôi#420ez,BLUE,IRON,1,JUNGLE,11,47.06,False,WHAT A HEROOOOO#NA1,BLUE,UNRANKED,0,MID,126,0,False,I Kite Poofs#6969,BLUE,IRON,2,ADC,22,48.45,False,Candi5134#NA1,BLUE,IRON,2,SUPPORT,518,57.41,False,Zezeken#NA1,RED,IRON,1,TOP,84,51.19,False,expalfini#NA1,RED,IRON,1,JUNGLE,56,50.41,True,snick3rd00dl3s#NA1,RED,IRON,2,MID,875,49.02,False,MiChile#NA1,RED,IRON,2,ADC,18,51.22,True,faveur#NA1,RED,IRON,2,SUPPORT,54,47.06,False
CIwPbX19FDeb2hTw-b6hQcnuJKkOl5P5hSFfIxRvBjY=,14.22.635.4945,True,Starscream Fan#NA1,BLUE,IRON,3,TOP,27,46.45,False,BòSiêuTuôi#420ez,BLUE,IRON,1,JUNGLE,11,47.06,False,myguy1000#NA1,BLUE,IRON,4,MID,68,47.85,True,TurtleFastSong#NA1,BLUE,IRON,2,ADC,202,48.21,False,So1Saigon#69420,BLUE,IRON,2,SUPPORT,223,41.86,False,Zenon#2330,RED,IRON,3,TOP,83,54.17,False,Meow#5683,RED,IRON,4,JUNGLE,233,0,False,nettspend#3718,RED,UNRANKED,0,MID,39,0,False,AwsomeBts#NA1,RED,IRON,3,ADC,21,44.32,False,Luffy3280#NA1,RED,IRON,4,SUPPORT,235,47.88,False
CIwPbX19FDcEzBb0VvnDrprTceEE57ERx1wV24RfjM0=,14.22.635.4945,True,HellBackDoor#NA1,BLUE,IRON,3,TOP,157,52.0,False,Twilight#6632,BLUE,IRON,4,JUNGLE,799,50.0,False,discograndma#4973,BLUE,BRONZE,4,MID,150,45.83,False,Baldguy1#NA1,BLUE,IRON,2,ADC,15,48.72,False,abcdegenr8#NA1,BLUE,IRON,1,SUPPORT,147,50.0,False,So1Saigon#69420,RED,IRON,2,TOP,223,41.86,False,Tank Player#4420,RED,IRON,1,JUNGLE,104,49.52,False,RD01#NA1,RED,IRON,2,MID,161,56.76,False,BòSiêuTuôi#420ez,RED,IRON,1,ADC,18,47.06,False,Johnnyzynz69#1064,RED,IRON,2,SUPPORT,350,46.25,False
CIwPbX19FDcgfj0XjsCil9lmCWX0i7h9AXhjacF4S5Y=,14.22.635.4945,False,Angel0#117,BLUE,IRON,4,TOP,75,48.42,True,YaBoiiiiiiiiii#YaBoi,BLUE,IRON,2,JUNGLE,234,49.77,False,Mikooo#Luv,BLUE,IRON,3,MID,55,45.71,False,BòSiêuTuôi#420ez,BLUE,IRON,1,ADC,236,47.06,False,So1Saigon#69420,BLUE,IRON,3,SUPPORT,54,41.86,False,Uhaul Carry#NA1,RED,IRON,2,TOP,875,48.72,True,pennyslug#000,RED,IRON,3,JUNGLE,104,45.45,False,Nexhunter#NA1,RED,IRON,1,MID,81,44.83,False,LilT8nt#NA1,RED,BRONZE,4,ADC,51,16.67,True,Time2getTwisted#NA1,RED,BRONZE,4,SUPPORT,163,41.75,False
CIwPbX19FDcSGNPfQ3a_nrpBrGHaBDMW14wHKOE1leU=,14.22.635.4945,True,SuperMoonWhisper#NA1,BLUE,BRONZE,3,TOP,80,49.39,False,lustydemon#NA1,BLUE,UNRANKED,0,JUNGLE,35,0,False,joker99991#NA1,BLUE,BRONZE,1,MID,136,49.5,False,CrazzyboiiAb#NA1,BLUE,BRONZE,4,ADC,161,50.0,False,Cadazz#NA1,BLUE,BRONZE,4,SUPPORT,25,52.94,False,Gamegod1000#gg1,RED,BRONZE,2,TOP,31,48.48,False,Barca1068#NA1,RED,BRONZE,4,JUNGLE,64,42.11,False,YellowNailPolish#Tally,RED,BRONZE,3,MID,102,46.15,False,Bobatealatte#NA1,RED,BRONZE,1,ADC,81,40.0,False,Voerman#DaSlo,RED,BRONZE,3,SUPPORT,7,57.14,False
CIwPbX19FDe6CfCLV1-tpt6HWjgb2Blt3j_FtsLeUhc=,14.22.635.4945,True,Ghost SPQR#NA1,BLUE,BRONZE,3,TOP,82,68.97,False,Kilfoic#NA1,BLUE,SILVER,4,JUNGLE,17,25.0,True,PinkMismagius#NA1,BLUE,BRONZE,4,MID,103,42.86,False,belladonnas#001,BLUE,UNRANKED,0,ADC,51,60.0,False,Paleness#NA1,BLUE,UNRANKED,0,SUPPORT,412,75.0,False,ML Spanky#T1Pct,RED,BRONZE,1,TOP,68,51.61,False,lustydemon#NA1,RED,UNRANKED,0,JUNGLE,35,0,False,Cadazz#NA1,RED,BRONZE,4,MID,99,52.94,False,Killsmartzombi#Tenks,RED,BRONZE,1,ADC,67,50.0,False,Spongebob#2016,RED,UNRANKED,0,SUPPORT,89,50.0,False
CIwPbX19FDcT0T2An3nqzH5B4Jagu25sbe1_09jpBDg=,14.22.635.4945,False,Sol#1290,BLUE,UNRANKED,0,TOP,777,47.85,False,MomLuvr3000#mama,BLUE,BRONZE,4,JUNGLE,62,50.0,False,Forsaken#6960,BLUE,BRONZE,4,MID,166,50.0,False,ElHumpty#NA1,BLUE,BRONZE,3,ADC,145,51.14,False,Cadazz#NA1,BLUE,BRONZE,4,SUPPORT,25,52.94,False,HuskyBren#uwu,RED,BRONZE,4,TOP,6,54.55,True,octopusproteins#NA1,RED,UNRANKED,0,JUNGLE,876,33.33,False,Cholera#Biolo,RED,BRONZE,3,MID,99,53.62,False,SpicyWizCurryfa#NA1,RED,IRON,1,ADC,202,47.85,False,Bobbyblubbing#NA1,RED,BRONZE,4,SUPPORT,53,53.33,True
CIwPbX19FDcn8CWTmHmsp55db85zhCLK_Xa4fdsP2zk=,14.22.633.1362,True,Cadazz#NA1,BLUE,BRONZE,4,TOP,98,52.94,False,lucifer666#NA1,BLUE,UNRANKED,0,JUNGLE,35,50.0,False,Penta Kill Petey#NA1,BLUE,BRONZE,4,MID,45,0,True,loisdakitty123#NA1,BLUE,BRONZE,3,ADC,51,70.0,False,Blacklightningx1#NA1,BLUE,BRONZE,2,SUPPORT,412,50.0,False,Landuck#5539,RED,BRONZE,3,TOP,266,57.14,False,TrashPlayer#1066,RED,BRONZE,3,JUNGLE,32,55.88,False,GoosyGoose#NA1,RED,BRONZE,1,MID,134,37.93,False,Camaster#NA1,RED,BRONZE,4,ADC,15,57.14,False,Maximus1#1371,RED,BRONZE,3,SUPPORT,25,42.86,False
CIwPbX19FDe8ap0Sqbp1weXdqOhXtSkRwiTRYbddxRo=,14.21.630.3012,False,Cadazz#NA1,BLUE,BRONZE,4,TOP,25,52.94,False,pwrbottom4jesus#NA2,BLUE,BRONZE,4,JUNGLE,234,57.14,False,MatchaMystic#NA1,BLUE,IRON,3,MID,711,47.06,False,Eazr#alana,BLUE,IRON,2,ADC,22,54.55,False,Kitty Cack#NA1,BLUE,BRONZE,4,SUPPORT,412,48.31,False,XxNightLemon#NA1,RED,UNRANKED,0,TOP,24,66.67,False,ieatgfuel#1396,RED,BRONZE,4,JUNGLE,20,51.4,True,richigaa#NA1,RED,UNRANKED,0,MID,39,77.78,False,Mastablastaa#NA1,RED,BRONZE,3,ADC,222,47.1,False,Majesticles#5516,RED,IRON,2,SUPPORT,99,0,False
CIwPbX19FDcQcQ8YgW2jBB5nIKuAX_KjG-DvKeo78bs=,14.21.630.3012,True,Waldo0223#NA1,BLUE,BRONZE,4,TOP,136,50.0,False,Droughven#5397,BLUE,BRONZE,4,JUNGLE,20,40.0,False,dat chik#NA1,BLUE,IRON,4,MID,35,38.1,False,ElHumpty#NA1,BLUE,BRONZE,4,ADC,145,51.14,False,Cadazz#NA1,BLUE,BRONZE,4,SUPPORT,25,52.94,False,papa wagss#papaW,RED,IRON,2,TOP,74,51.85,False,Bizef69#7980,RED,IRON,3,JUNGLE,19,42.62,False,Technyc#ILT1,RED,BRONZE,4,MID,777,48.48,False,sqeck#1778,RED,BRONZE,2,ADC,115,53.33,False,ivsko#frogs,RED,IRON,3,SUPPORT,3,43.86,False
CIwPbX19FDcNS2rKCXlWV68dZfeWQMJkc-IuVL8NWYo=,14.21.630.3012,False,Cadazz#NA1,BLUE,BRONZE,4,TOP,25,52.94,False,lucifer666#NA1,BLUE,UNRANKED,0,JUNGLE,35,50.0,False,FryerCracker#NA1,BLUE,BRONZE,1,MID,1,40.0,False,PEONN#NA1,BLUE,BRONZE,3,ADC,119,33.33,False,Jmaru23#NA1,BLUE,BRONZE,2,SUPPORT,412,54.55,False,Chaewon Fan#tft,RED,UNRANKED,0,TOP,516,0,False,Goddess Of War#GGS,RED,SILVER,4,JUNGLE,122,48.44,True,getinmyvan#pls,RED,UNRANKED,0,MID,777,0,False,youlikerobot#NA1,RED,SILVER,4,ADC,222,55.56,True,hotgee#NA1,RED,UNRANKED,0,SUPPORT,518,41.67,False
CIwPbX19FDezqeliEsgj-1I9h-CHB34JeQVY0t7EUl8=,14.21.630.3012,False,mon0ptic#6006,BLUE,BRONZE,4,TOP,83,50.64,False,ZOExD3AD#NA1,BLUE,IRON,2,JUNGLE,234,55.17,False,Eva 001#Angel,BLUE,IRON,1,MID,555,48.5,False,SleepyWindows#WBI,BLUE,BRONZE,4,ADC,42,49.22,False,Cadazz#NA1,BLUE,BRONZE,4,SUPPORT,25,52.94,False,youuuu77#NA1,RED,BRONZE,4,TOP,420,50.0,False,Baeju#NA1,RED,BRONZE,3,JUNGLE,131,43.75,False,Danno827#NA1,RED,BRONZE,4,MID,90,51.85,False,OscuroPhoenix#NA1,RED,IRON,1,ADC,51,48.28,False,xXF4D3 4NDXx#666,RED,BRONZE,4,SUPPORT,497,50.69,False
CIwPbX19FDcx54ChRJ7X-plN_zDoHwYuNAh7PmIYjvw=,14.21.630.3012,True,Cadazz#NA1,BLUE,BRONZE,4,TOP,25,52.94,False,lustydemon#NA1,BLUE,UNRANKED,0,JUNGLE,35,0,False,tenacity#1trk,BLUE,BRONZE,2,MID,142,52.17,False,ORCA#BARS,BLUE,BRONZE,2,ADC,42,46.15,False,Dontavious#phat,BLUE,BRONZE,3,SUPPORT,57,55.0,False,ibench225#4200,RED,IRON,1,TOP,67,43.75,False,XxKingOreoxX#NA1,RED,BRONZE,2,JUNGLE,876,55.93,False,darkmatter1334#NA1,RED,BRONZE,2,MID,246,46.0,False,PleaseNoDiddy#5674,RED,SILVER,2,ADC,22,34.62,False,ASVPPUSH#NA1,RED,IRON,3,SUPPORT,555,33.33,False
CIwPbX19FDct_VtKEGSn26LmxusnLlHJO0_HGOvYAOo=,14.21.630.3012,True,Cadazz#NA1,BLUE,BRONZE,4,TOP,25,52.94,False,lucifer666#NA1,BLUE,UNRANKED,0,JUNGLE,35,50.0,False,Doonie#NA1,BLUE,BRONZE,2,MID,105,48.76,False,abdi op#NA1,BLUE,BRONZE,1,ADC,145,50.56,False,GaryFreakinnnOak#NA1,BLUE,BRONZE,1,SUPPORT,89,50.0,False,GrizzlyAdams64#NA1,RED,BRONZE,3,TOP,14,50.0,False,DarkVizier#NA1,RED,UNRANKED,0,JUNGLE,121,37.5,False,ZzhanMJ#NA1,RED,UNRANKED,0,MID,90,35.71,False,Zioware#NA1,RED,BRONZE,3,ADC,360,50.0,False,ClaBikelife#NA1,RED,BRONZE,2,SUPPORT,161,40.82,False
CIwPbX19FDednoAZNc6NOusjD0Wr_cO5aEW4WodtEks=,14.22.635.4945,False,XxPoWerStroKexX#9264,BLUE,UNRANKED,0,TOP,36,61.54,False,ClaBikelife#NA1,BLUE,SILVER,3,JUNGLE,56,40.82,False,Zioware#NA1,BLUE,IRON,2,MID,245,50.0,False,imblood#6969,BLUE,BRONZE,3,ADC,202,73.91,False,Pykeal Phelps#swimr,BLUE,GOLD,4,SUPPORT,80,61.11,False,清辉成凝夜临霜#青山伴明月,RED,BRONZE,4,TOP,887,56.41,False,KILL LEOBOY#777,RED,BRONZE,3,JUNGLE,234,40.0,False,aofzi#NA1,RED,GOLD,3,MID,517,38.89,False,Brony Friendzoni#NA1,RED,UNRANKED,0,ADC,21,0,False,bibble#187,RED,BRONZE,2,SUPPORT,99,57.14,False
CIwPbX19FDdqMwza1rGaJXdx-p5XJfd4GIsGjW8vPd8=,14.22.635.4945,False,Zioware#NA1,BLUE,BRONZE,3,TOP,420,50.0,False,ClaBikelife#NA1,BLUE,BRONZE,3,JUNGLE,154,40.82,False,WILDWILMOT#NA1,BLUE,BRONZE,2,MID,112,50.0,False,Epicroyal28#Epic,BLUE,SILVER,2,ADC,429,56.0,False,DivineBW#DBW,BLUE,BRONZE,2,SUPPORT,106,52.34,True,NuNus in Paris#007,RED,BRONZE,2,TOP,86,50.0,False,xAmPx#NA1,RED,BRONZE,2,JUNGLE,59,50.0,True,Rainuzu#NA1,RED,BRONZE,2,MID,910,50.54,False,UnleashNaTeesh#NA1,RED,BRONZE,2,ADC,202,54.17,False,DeadpoolKeith#NA1,RED,BRONZE,3,SUPPORT,161,66.67,False
CIwPbX19FDcgeGmPHUY_ziQO6vKUHfalh3eXbljAPaw=,14.22.635.4945,False,69daddyGODYES#Mouth,BLUE,BRONZE,4,TOP,92,80.0,False,Misak1#NA1,BLUE,BRONZE,4,JUNGLE,121,30.77,False,SincerelySauced#NA1,BLUE,BRONZE,4,MID,84,50.0,False,YouWillReportMe#NA1,BLUE,BRONZE,3,ADC,115,48.78,False,Pyke Me Mommy#PYKE,BLUE,BRONZE,2,SUPPORT,80,54.93,False,Zioware#NA1,RED,BRONZE,3,TOP,420,50.0,False,ClaBikelife#NA1,RED,BRONZE,3,JUNGLE,36,40.82,False,srs#NA1,RED,BRONZE,4,MID,112,33.33,True,killerbob1969#NA1,RED,SILVER,4,ADC,498,38.89,False,JangoCollidor#NA1,RED,UNRANKED,0,SUPPORT,99,0,False
CIwPbX19FDeDvfmxjOii2gMlQyS807Xa_2RNmE83Wlg=,14.22.635.4945,False,Whamo07#NA1,BLUE,BRONZE,3,TOP,31,50.0,False,Wh4t#What,BLUE,BRONZE,2,JUNGLE,32,51.9,False,krugsniffer#NA1,BLUE,IRON,1,MID,799,75.0,False,911#G070,BLUE,BRONZE,3,ADC,67,52.94,False,Pure Fox#NA1,BLUE,BRONZE,4,SUPPORT,412,45.45,False,Zioware#NA1,RED,BRONZE,4,TOP,420,50.0,False,Crystalfrog95#NA1,RED,BRONZE,2,JUNGLE,30,51.85,False,cooterlooter#808,RED,BRONZE,3,MID,711,71.43,True,Levi#8034,RED,BRONZE,4,ADC,202,45.45,False,Leviax7#8406,RED,BRONZE,3,SUPPORT,43,50.0,False
CIwPbX19FDdDnrdNekhbNgRoz9r_4HOSRew2R3Oep7M=,14.22.635.4945,True,KaKashi#sahdg,BLUE,BRONZE,2,TOP,106,55.0,True,Mach 5#NA1,BLUE,UNRANKED,0,JUNGLE,60,61.54,False,BogartIV#NA1,BLUE,SILVER,3,MID,13,55.24,False,Clutch Crennen#NA1,BLUE,SILVER,2,ADC,222,48.15,False,Thorfinn#99990,BLUE,IRON,3,SUPPORT,99,50.0,False,XxPoWerStroKexX#9264,RED,UNRANKED,0,TOP,36,61.54,False,Magulana#NA1,RED,UNRANKED,0,JUNGLE,876,0,False,Zioware#NA1,RED,IRON,2,MID,245,50.0,False,ClaBikelife#NA1,RED,SILVER,3,ADC,81,40.82,False,Undertox#NA1,RED,UNRANKED,0,SUPPORT,526,33.33,False
CIwPbX19FDe0Gy1ywNP8tAF8Vwm-XUcEVKZSIj4OVTc=,14.22.633.1362,True,namjahh#NA9,BLUE,BRONZE,2,TOP,10,53.62,False,Lord Yama#NA1,BLUE,IRON,4,JUNGLE,121,41.03,True,iloveboystoomuch#NA1,BLUE,SILVER,4,MID,517,60.0,True,humanXorgans#NA1,BLUE,BRONZE,3,ADC,221,38.1,False,TheRealHumanBean#NA1,BLUE,BRONZE,2,SUPPORT,37,39.13,False,kwest20#NA1,RED,BRONZE,2,TOP,150,48.28,False,Attreios#NA1,RED,IRON,2,JUNGLE,82,52.73,False,Ext Car Warranty#NA1,RED,SILVER,4,MID,777,47.62,False,Zioware#NA1,RED,BRONZE,4,ADC,145,50.0,False,ClaBikelife#NA1,RED,BRONZE,3,SUPPORT,161,40.82,False
CIwPbX19FDdmU4eqfPjRXjG_dpMqYRtFgSG7W1A224k=,14.22.633.1362,True,XxPoWerStroKexX#9264,BLUE,UNRANKED,0,TOP,24,61.54,False,ClaBikelife#NA1,BLUE,SILVER,3,JUNGLE,32,40.82,False,Zioware#NA1,BLUE,IRON,2,MID,245,50.0,False,Royshall#NA1,BLUE,SILVER,4,ADC,67,56.0,False,Berner#NA1,BLUE,UNRANKED,0,SUPPORT,235,45.45,True,MrWhite#BTS,RED,UNRANKED,0,TOP,36,41.67,False,kenzamazing#7137,RED,UNRANKED,0,JUNGLE,120,35.71,False,arts#BTS,RED,UNRANKED,0,MID,238,33.33,False,spandexturtle#4483,RED,BRONZE,3,ADC,202,57.38,False,WAGYU#4746,RED,UNRANKED,0,SUPPORT,888,50.0,False
